subject,exercise,condition,overlap_s,r_theta,r_speed,rmse_deg,lag_s
S07,External-Rotation,SubAcromial-Impingement,39.655,0.7842786125342034,0.3938283986095155,8.211651029827495,-0.05
S08,Ulnar-Nerve-Glide,Cubital-Tunnel-Syndrome,89.61,0.9905471547244449,0.9517259061802332,10.222253338912262,0.1
S08,Forearm-Pronation-Supination,Distal-Radius-Fracture,39.391,0.9905030739596006,0.8958640076989534,10.258690672318023,0.1
S08,Front-Delt-Raise,Shoulder-Impingement,39.725,0.979688060093799,0.8974224007920855,9.661988667953974,0.1
S08,Lateral-Delt-Raise,Shoulder-Impingement,39.726,0.8487555472323942,0.8536323539327246,21.789098854156066,0.1
S08,Scapular,Shoulder-Impingement,39.582,0.9611246346589444,0.8296085737384506,10.444053861221255,0.05
S08,Bicep-Curl,Bicep-Tendonitis,39.551,0.997566364573607,0.9735321584966897,5.033185381562821,-0.05
S08,Wand-Extension,Frozen-Shoulder,39.747,0.9865589652245563,0.8851365604105739,3.729235056614721,-0.05
S08,Wand-Flexion,Frozen-Shoulder,29.706,0.9981868291669175,0.9705731138936566,6.89140866132003,0.0
S08,Scaption,Shoulder-Impingement,39.752,0.9961628262131542,0.9564535188641068,4.600162653894659,0.0
S08,External-Rotation,SubAcromial-Impingement,39.442,0.4565243808024384,0.28732501479324046,9.33205306320307,-0.1
S09,Ulnar-Nerve-Glide,Cubital-Tunnel-Syndrome,89.433,0.9909856122783913,0.9672754263633304,9.49268801297803,0.0
S09,Forearm-Pronation-Supination,Distal-Radius-Fracture,39.763,0.982753379021271,0.8845556059509134,15.596005064431967,0.05
S09,Front-Delt-Raise,Shoulder-Impingement,39.767,0.9915316598243884,0.8736031083399879,8.60219971774093,0.1
S09,Lateral-Delt-Raise,Shoulder-Impingement,39.781,0.9796399385498625,0.9075132077698114,12.96047904862641,-0.05
S09,Scapular,Shoulder-Impingement,39.67,0.9918427029895667,0.9046135672221948,10.122848790603394,0.05
S09,Bicep-Curl,Bicep-Tendonitis,39.564,0.9938373669537736,0.9508895300705733,10.337384265354073,-0.15
S09,Wand-Extension,Frozen-Shoulder,39.81,0.9881339291142038,0.89432642758963,4.6376273827474055,-0.1
S09,Wand-Flexion,Frozen-Shoulder,29.605,0.9981491143439168,0.9728306064456651,3.353331448813608,-0.1
S09,Scaption,Shoulder-Impingement,39.552,0.9981294599458912,0.9668413063046271,4.989048929511544,-0.15
S09,External-Rotation,SubAcromial-Impingement,39.609,0.5576438309233381,0.7977132411638796,9.103181247166773,-0.05
S10,Scapular,Shoulder-Impingement,39.769,0.9922515981549281,0.9168053842705867,6.595136387007115,0.0
S10,Front-Delt-Raise,Shoulder-Impingement,39.694,0.9917029297202119,0.9401801232092047,5.374609082959065,-0.05
S10,Lateral-Delt-Raise,Shoulder-Impingement,39.654,0.974332495989358,0.9271420232668356,13.270476275927146,-0.05
S10,Ulnar-Nerve-Glide,Cubital-Tunnel-Syndrome,89.465,0.9959934104011627,0.9586528720063681,6.588797662189418,0.0
S10,Forearm-Pronation-Supination,Distal-Radius-Fracture,39.752,0.9891841564240179,0.9240575591529435,36.00238922840765,0.0
S10,Bicep-Curl,Bicep-Tendonitis,39.653,0.9952688693304264,0.9711445122195396,10.473071762705684,0.0
S10,Scaption,Shoulder-Impingement,39.775,0.9897764189901528,0.9690446026326415,19.652624886101577,-0.05
S10,Wand-Extension,Frozen-Shoulder,39.57,0.961959230284498,0.9390290807467668,5.1448717710586305,0.0
S10,Wand-Flexion,Frozen-Shoulder,29.696,0.9983056045374021,0.9837232197451985,3.7533689561128702,0.0
S10,External-Rotation,SubAcromial-Impingement,39.728,0.9180079994582354,0.6821159378806726,5.98701066231001,0.0
S11,Ulnar-Nerve-Glide,Cubital-Tunnel-Syndrome,89.758,0.9939821858896789,0.955907153349755,10.24515437869607,-0.05
S11,Forearm-Pronation-Supination,Distal-Radius-Fracture,39.746,0.9810905933107508,0.8560242073972999,17.986708146104334,-0.05
S11,Front-Delt-Raise,Shoulder-Impingement,39.766,0.9883124709149395,0.9267591568695502,5.55696238974476,-0.05
S11,Lateral-Delt-Raise,Shoulder-Impingement,39.676,0.992806206916113,0.9153067801210146,4.8801365364397915,-0.05
S11,Scapular,Shoulder-Impingement,39.806,0.9953775901262034,0.9518614040771641,4.753751607069175,-0.05
S11,Bicep-Curl,Bicep-Tendonitis,39.761,0.9971000090273764,0.952044732453837,10.163595894120784,-0.05
S11,Scaption,Shoulder-Impingement,39.753,0.9976903341438405,0.976653508174893,5.050850010641438,0.0
S11,Wand-Extension,Frozen-Shoulder,39.771,0.9888989974953577,0.958964972162169,2.6421020124050267,0.0
S11,Wand-Flexion,Frozen-Shoulder,29.699,0.9994275748487227,0.9909386009924901,2.1128523096861143,0.0
S11,External-Rotation,SubAcromial-Impingement,39.709,0.5344221223591221,0.9030531627281572,6.59155263717693,0.05
